,model,accuracy,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp,confusion_matrix
LogisticRegression,LogisticRegression,0.8055,0.716,0.4523,0.5544,0.8437,0.6807,1369,96,293,242,"[[1369, 96], [293, 242]]"
GradientBoosting,GradientBoosting,0.799,0.7209,0.4056,0.5191,0.838,0.6688,1381,84,318,217,"[[1381, 84], [318, 217]]"
XGBoost,XGBoost,0.806,0.7221,0.4467,0.552,0.8374,0.6601,1373,92,296,239,"[[1373, 92], [296, 239]]"
RandomForest,RandomForest,0.7935,0.702,0.3963,0.5066,0.8283,0.6372,1375,90,323,212,"[[1375, 90], [323, 212]]"
